Date,Close,High,Low,Open,Volume
2021-02-12,101500.0,104000.0,100800.0,104000.0,62
2021-02-16,101700.0,102500.0,101000.0,101500.0,38
2021-02-17,101500.0,101900.0,101500.0,101900.0,35
2021-02-18,102100.0,103100.0,101500.0,101500.0,11
2021-02-19,102400.0,103700.0,102000.0,102800.0,27
2021-02-22,102000.0,102900.0,101800.0,102900.0,11
2021-02-23,101800.0,102500.0,101100.0,101700.0,13
2021-02-24,103700.0,104200.0,101500.0,101800.0,22
2021-02-25,102200.0,103900.0,101800.0,103050.0,7
2021-02-26,102100.0,102500.0,100900.0,102500.0,13
2021-03-01,101300.0,102600.0,101200.0,102600.0,3
2021-03-02,101000.0,101400.0,100600.0,101300.0,12
2021-03-03,100000.0,101300.0,99100.0,101300.0,11
2021-03-04,99800.0,100400.0,99500.0,100400.0,11
2021-03-05,99200.0,100800.0,98100.0,100800.0,13
2021-03-08,98700.0,100400.0,98500.0,99600.0,12
2021-03-09,99100.0,99200.0,98700.0,99000.0,2
2021-03-10,99200.0,99200.0,98300.0,99000.0,18
2021-03-11,99200.0,99200.0,98800.0,98800.0,1
2021-03-12,99000.0,99400.0,98500.0,99000.0,26
2021-03-15,99000.0,99000.0,99000.0,99000.0,0
2021-03-16,98600.0,98600.0,98500.0,98600.0,3
2021-03-17,98500.0,99100.0,98000.0,99100.0,8
2021-03-18,98600.0,98700.0,98000.0,98500.0,15
2021-03-19,98000.0,98600.0,98000.0,98200.0,1
2021-03-22,98300.0,98500.0,98000.0,98000.0,1
2021-03-23,97700.0,98350.0,97000.0,98000.0,11
2021-03-24,96600.0,97100.0,96300.0,97100.0,14
2021-03-25,96800.0,96800.0,96100.0,96100.0,2
2021-03-26,97700.0,98000.0,96500.0,96900.0,3
2021-03-29,97000.0,97550.0,96100.0,97000.0,1
2021-03-30,98300.0,98300.0,98300.0,98300.0,0
2021-03-31,98900.0,101000.0,96700.0,97250.0,42
2021-04-01,98800.0,99800.0,98180.0,99800.0,4
2021-04-05,98500.0,99400.0,98300.0,99400.0,8
2021-04-06,98300.0,98850.0,98300.0,98500.0,9
2021-04-07,97800.0,98300.0,97800.0,98300.0,2
2021-04-08,99300.0,99300.0,98000.0,98000.0,3
2021-04-09,99300.0,99350.0,98500.0,98720.0,4
2021-04-12,98350.0,98650.0,97600.0,98650.0,0
2021-04-13,99050.0,99050.0,98500.0,98500.0,3
2021-04-14,99000.0,99000.0,98500.0,98600.0,0
