Date,Close,High,Low,Open,Volume
2018-01-02,107.68818664550781,108.22422919532008,107.16154319007595,107.74460991131504,6080900
2018-01-03,108.76026916503906,108.89192823205342,107.82924942690016,108.10196665508629,6946100
2018-01-04,109.16464233398438,110.36838636160118,109.11761816811045,109.32451301814716,7805300
2018-01-05,111.7790298461914,111.91068890620826,109.48438821467373,110.02043072327967,8590500
2018-01-08,112.2304458618164,113.3025382026821,111.03610788738914,111.54393883573131,6660700
2018-01-09,112.01416778564453,112.8229349098998,111.59097885604052,112.8229349098998,6562400
2018-01-10,111.89187622070312,111.95770574640302,110.46242484139093,111.61915184998067,7490300
2018-01-11,112.70065307617188,112.83231932253008,111.60976260180863,111.72261630945225,5982100
2018-01-12,112.93576049804688,113.1802732791422,112.57840118327782,112.96397930634664,5585800
2018-01-16,113.21790313720703,114.67556653338593,112.7665026050839,113.9608406534952,8803800
2018-01-17,114.71317291259766,114.88244988885359,113.53764034828743,113.97963456556772,7991500
2018-01-18,115.7758560180664,115.86049092186076,114.7601941232445,115.22100089640418,8661000
2018-01-19,115.3902587890625,116.28366772786252,114.65672771133815,115.71941360460383,8250700
2018-01-22,116.92317199707031,116.92317199707031,115.10814944166887,115.55015083117885,9355000
2018-01-23,117.2240982055664,118.03286511106676,116.81030848418091,117.17707403727051,5683300
2018-01-24,117.13008880615234,117.97646666594576,116.3401270488271,117.60030191709654,6425200
2018-01-25,117.76014709472656,117.99525359917223,117.20529201329661,117.55325222283341,7166400
2018-01-26,118.79459381103516,118.85101706641845,117.32753177203054,118.27735672042205,5604900
2018-01-29,117.40279388427734,119.3212640383549,117.2617357055732,119.18960495497642,6257900
2018-01-30,116.18965911865234,116.88557249312545,115.52195020713071,116.44357103404035,8154400
2018-01-31,116.82911682128906,117.06422330455466,115.71000766498307,116.4059208464827,7338200
2018-02-01,118.23035430908203,118.73818519478132,116.70686165198413,117.30873369987647,11169700
2018-02-02,113.70691680908203,116.34951170570986,113.50942102527759,116.34951170570986,13937700
2018-02-05,109.34333038330078,113.9138014226358,108.15839876190365,111.62856590296829,16623900
2018-02-06,112.82291412353516,113.1332564413384,106.50324993316251,108.33707785676111,19053300
2018-02-07,112.52197265625,115.16456742783325,112.10818291910662,112.93575521851237,9294000
2018-02-08,107.0769271850586,112.68186644880451,106.77599108951796,112.40914199114543,12673400
2018-02-09,109.39036560058594,110.22734427040511,104.40610431244043,107.72581453108091,17695500
2018-02-12,111.41227722167969,111.76023027428384,109.91699604533589,110.77278720960538,11526300
2018-02-13,111.2994155883789,111.72261159301605,110.15209472118804,110.82920258870271,7803900
2018-02-14,113.63167572021484,113.74452224870637,110.50005540671688,110.61290911008942,9206400
2018-02-15,115.19551086425781,115.22377161614615,113.01934672037618,114.64911236983893,6921300
2018-02-16,114.7904052734375,115.86435680062614,114.52662871411006,114.58315020900247,6371400
2018-02-20,114.94114685058594,115.92089355875254,114.0084989956535,114.31938161396431,6182800
2018-02-21,113.45269012451172,115.71364361387405,113.43385201985677,114.97883534699022,7676100
2018-02-22,113.40557861328125,114.34764192280721,112.68961567294983,113.67877783552849,4994000
2018-02-23,115.8078384399414,115.83609918815246,114.19691110556053,114.52663181364333,5036900
2018-02-26,117.37165069580078,117.38107334026954,116.17523359365583,116.42017203824044,6270500
2018-02-27,116.22235870361328,118.04054126641165,116.2035134115828,117.47529750346554,7287200
2018-02-28,115.81726837158203,117.73907843193655,115.76073968423115,116.48613247502254,6780900
2018-03-01,113.4244155883789,116.81584181654614,112.68960741080276,116.11871703107289,8819600
2018-03-02,113.77299499511719,113.9708346363351,111.03159420627412,112.19032817698796,7581900
2018-03-05,114.81869506835938,115.22378265477131,112.52006505029138,113.47154399609404,5810200
2018-03-06,114.04618835449219,116.09988677206067,113.6787842181386,115.71364453090285,7464400
2018-03-07,114.7904052734375,115.15780936498244,112.76496785378447,113.07585045043702,7254100
2018-03-08,115.13897705078125,115.70421359023753,114.14980771620334,114.89403858164692,6948900
2018-03-09,117.29632568359375,117.56010230751092,115.75134215432978,116.10932368859251,6397700
2018-03-12,117.04195404052734,117.73908612689148,116.32599103610359,117.52240838385974,8636000
2018-03-13,116.06219482421875,117.75791162659067,115.77958014873846,117.05136415683113,9479500
2018-03-14,115.47811889648438,116.85353042648141,114.8375155768747,116.85353042648141,7855000
2018-03-15,116.2600326538086,117.21151139021968,115.59116140116177,115.99624889842626,5861900
2018-03-16,117.31515502929688,117.80503202630679,116.18468181482898,116.67455162446548,9447100
2018-03-19,116.07160949707031,117.10787761073226,115.19549040725106,116.75931881617723,17387800
2018-03-20,117.67311096191406,117.9180422048524,116.15638872257176,116.23174831181434,7779700
