Date,Open,High,Low,Close,Volume
2018-01-03,44.700001,45.5,44.599998,45.5,10030500.0
2018-01-04,45.5,45.549999,44.099998,44.25,9590900.0
2018-01-05,44.400002,45.599998,44.400002,45.5,11091100.0
2018-01-08,45.549999,45.700001,45.200001,45.200001,8511000.0
2018-01-09,45.200001,46.400002,45.200001,46.400002,14713900.0
2018-01-10,46.349998,46.349998,45.400002,45.650002,10036600.0
2018-01-11,45.400002,45.400002,44.0,44.349998,23354700.0
2018-01-12,44.349998,44.650002,44.099998,44.349998,12227500.0
2018-01-15,44.349998,45.5,44.299999,44.799999,4998200.0
2018-01-16,44.799999,45.5,44.799999,45.049999,9383000.0
2018-01-17,45.25,45.25,44.400002,44.599998,12363800.0
2018-01-18,44.5,45.200001,44.450001,45.0,11166800.0
2018-01-19,44.900002,44.950001,44.450001,44.900002,9958900.0
2018-01-22,44.900002,45.5,44.900002,45.200001,6698800.0
2018-01-23,45.299999,45.900002,45.200001,45.599998,14236500.0
2018-01-24,45.599998,46.299999,45.400002,46.25,13342800.0
2018-01-25,46.25,47.299999,46.25,47.0,16623300.0
2018-01-26,47.0,47.5,46.950001,47.5,8978000.0
2018-01-29,47.5,47.5,46.150002,46.5,12918900.0
2018-01-30,46.5,46.5,44.900002,45.599998,18764000.0
2018-01-31,44.799999,45.400002,44.25,44.25,22132500.0
2018-02-01,44.25,45.5,44.25,45.349998,12665400.0
2018-02-02,45.5,45.849998,45.0,45.849998,9582700.0
2018-02-05,45.0,45.25,44.5,44.799999,13541500.0
2018-02-06,44.400002,44.450001,43.5,44.0,22597900.0
2018-02-07,44.200001,45.200001,44.150002,45.200001,14773700.0
2018-02-08,45.299999,45.400002,44.700001,45.200001,8698200.0
2018-02-09,44.5,44.5,43.75,43.950001,11284100.0
2018-02-12,44.0,44.450001,43.549999,43.549999,8219600.0
2018-02-13,44.0,44.099998,43.099998,43.700001,7501200.0
2018-02-14,43.700001,45.200001,43.099998,45.099998,12596600.0
2018-02-15,45.599998,45.700001,43.5,44.599998,5949500.0
2018-02-19,44.5,45.599998,44.0,45.599998,6557400.0
2018-02-20,45.549999,46.0,44.900002,46.0,9788400.0
2018-02-21,45.799999,45.799999,44.700001,45.0,11385100.0
2018-02-22,44.950001,44.950001,43.75,44.25,13163700.0
2018-02-23,44.25,44.299999,43.700001,43.900002,11734800.0
2018-02-26,43.25,43.5,42.5,42.5,22452800.0
2018-02-27,42.650002,42.900002,42.450001,42.5,23537700.0
2018-02-28,42.5,42.599998,41.099998,41.099998,24035000.0
2018-03-01,41.400002,42.849998,41.400002,42.200001,17922000.0
2018-03-02,42.0,42.049999,41.200001,41.5,12627100.0
2018-03-05,41.450001,41.849998,41.299999,41.650002,11685900.0
2018-03-06,41.700001,42.299999,41.150002,41.200001,20631500.0
2018-03-07,41.5,41.549999,41.349998,41.450001,18266100.0
2018-03-08,41.950001,41.950001,41.299999,41.5,7557800.0
2018-03-09,41.5,41.900002,41.5,41.75,9678300.0
2018-03-12,42.0,42.75,41.5,42.0,11630200.0
2018-03-13,42.0,42.200001,41.549999,41.549999,6625600.0
2018-03-14,41.950001,41.950001,40.799999,41.450001,8404100.0
2018-03-15,41.549999,41.549999,40.299999,40.299999,15248700.0
