Date,Close,High,Low,Open,Volume
2018-01-02,101.92609405517578,102.29613163094457,101.45693964827564,102.09129580478653,4395815
2018-01-03,104.72783660888672,105.60007113319429,103.30053512190175,103.96793380070068,9875914
2018-01-04,106.84896850585938,107.25865079149479,105.3093351222527,105.49435394930644,7903785
2018-01-05,107.37095642089844,107.64188770362259,106.45246467419112,107.33792450928287,5434807
2018-01-08,108.01851654052734,108.30926483158873,106.84893175984556,107.48328783249359,5478425
2018-01-09,108.25643157958984,108.71897332696628,107.74762194691027,108.30267837171529,4541523
2018-01-10,108.48770904541016,108.58682588866637,107.37758563571597,107.64850641349481,4366109
2018-01-11,108.50093078613281,108.98990232205861,107.90621914237983,108.8973981842417,3969047
2018-01-12,107.80050659179688,108.85777073123701,107.72783003105309,108.38200345047764,5263367
2018-01-16,108.2696304321289,109.22115408431897,107.93923749199126,109.09560750917936,8152733
2018-01-17,111.44141387939453,111.75858143700776,110.52292202873187,111.01850622492931,12248660
2018-01-18,111.75196838378906,113.08014233745568,111.1110100734032,112.33345448710834,14915228
2018-01-19,107.2916488647461,109.29382321427262,106.58460576872227,108.67269260423045,22146435
2018-01-22,107.44365692138672,108.35554661830668,106.45909068188236,106.72340928734606,8870917
2018-01-23,109.85550689697266,109.86211960700572,107.38417790415116,107.58901371637171,7809645
2018-01-24,109.27404022216797,111.4876637552219,108.9106047705074,110.18591938703962,5904670
2018-01-25,109.34012603759766,110.20575850091592,109.15510721010648,109.6308744293366,3454415
2018-01-26,110.57574462890625,110.62200195087117,109.5515235697862,109.76958476197647,3962143
2018-01-29,110.21895599365234,111.26960711874607,109.69693151323915,110.64846580161704,3678782
2018-01-30,108.11766815185547,110.1991430934539,107.81371543693417,109.829105447523,5127806
2018-01-31,108.17051696777344,109.02292381908232,107.54937568982241,108.20354888020306,4260149
2018-02-01,107.31149291992188,108.45464805098317,106.98109998332421,107.83350679899864,4638173
2018-02-02,105.08465576171875,107.0471860111566,104.97892621372047,106.84895233692463,5493487
2018-02-05,100.7895278930664,104.73441522553397,99.11774630956617,104.33133524307314,9148944
2018-02-06,102.6463623046875,102.74547914560658,98.52967013791728,99.30940053617533,10321614
2018-02-07,101.66178131103516,102.64634741283858,101.28513104223353,101.87322983787982,6432063
