Date,Close,High,Low,Open,Volume
2018-01-02,167.98696899414062,170.0921451340131,166.57756102748144,167.01464668544702,2509300
2018-01-03,170.00286865234375,171.35875638557638,168.040407803177,168.4329026952665,3364400
2018-01-04,168.6827392578125,171.5372301802012,167.30900656900624,171.26961867875835,3525800
2018-01-05,167.478515625,169.20012579015028,166.5597264550815,168.9771184457761,2819000
2018-01-08,168.1296844482422,168.57569911361625,167.0324921825825,167.0949407691528,1961800
2018-01-09,166.1761474609375,168.86116460999656,166.05126389200137,168.60246846708645,2241900
2018-01-10,165.40003967285156,166.1315100929636,164.02632080143724,165.69441091914413,2609500
2018-01-11,168.93252563476562,170.0832375275716,165.05219244938914,165.40899875116006,4678600
2018-01-12,171.12689208984375,171.43017877528902,169.4855614978366,169.57476986945534,3499500
2018-01-16,170.8503875732422,172.01894389356903,170.27948930944552,171.58185820472852,2006600
2018-01-17,171.52828979492188,171.76914149136783,170.68086477265408,171.74238170412778,2585200
2018-01-18,170.83251953125,172.18840782434634,170.57383703353082,171.47478169054372,1908000
2018-01-19,171.52828979492188,171.84050546110313,170.52030604921376,171.01092483409053,2353800
2018-01-22,173.3926544189453,173.73161628696667,171.3231399724352,171.71563503031032,3009100
2018-01-23,172.5363006591797,173.14288764377457,171.33206930524577,172.70578839915893,2316400
2018-01-24,173.26779174804688,173.72272183198473,171.2071924458517,173.43726589683993,2799200
2018-01-25,176.5771942138672,177.02320885629237,173.71378783181814,173.94571054581604,3558700
2018-01-26,177.4335174560547,177.718959699692,174.5611825695063,176.39876039889023,2756200
2018-01-29,176.9072723388672,178.29883598728387,176.2293213020471,176.95186291862592,2031100
2018-01-30,176.54151916503906,177.32649568062644,174.9091039391732,176.2560632602533,2285000
2018-01-31,173.82974243164062,177.0410533025119,173.1428896822408,176.1222642277628,2682300
2018-02-01,172.58090209960938,174.3025120387751,171.66211305029432,172.52738252179086,2096600
2018-02-02,170.36868286132812,172.69687990548587,170.19919511457806,170.60060558192518,2386600
2018-02-05,163.0362091064453,171.35884462613242,162.82211716107412,170.07432017648082,3407200
2018-02-06,165.03431701660156,165.2394935322604,157.17554196028036,159.59294707574804,4067900
2018-02-07,163.4108428955078,166.08693068497834,163.30380373954063,164.6686074232677,2594800
2018-02-08,159.32530212402344,164.5882678419284,159.2539381698232,164.5882678419284,3013200
2018-02-09,161.2075653076172,162.41181052468312,156.8098529862858,160.36905543633154,2777200
2018-02-12,161.51077270507812,163.47323383316038,160.90419950293455,162.2065542540229,1596200
2018-02-13,164.2671661376953,164.66859015304416,160.60985470909807,160.76149803457622,2123900
2018-02-14,167.12168884277344,168.12967266017063,162.62585370869843,162.9826735827524,2191000
2018-02-15,171.2627716064453,171.46849711249004,166.8711994251681,168.23070191681848,2072900
2018-02-16,171.33436584472656,174.07127724517542,170.8692655973151,171.2359795163839,1969300
2018-02-20,168.2575225830078,171.26276069298635,167.81926750611154,169.82275048096113,2202100
2018-02-21,166.13784790039062,169.16991897968984,166.08418509950747,168.62432442452572,1747200
2018-02-22,166.88912963867188,168.4454188718567,166.05732905301554,166.6744784669976,1360100
2018-02-23,169.76914978027344,169.804934073739,166.28093179138685,167.99820938958555,1561700
2018-02-26,172.452392578125,172.711780929731,169.87646944671806,170.02853221708497,1852400
2018-02-27,170.02854919433594,174.87628404816815,170.02854919433594,173.0248357006762,2170400
2018-02-28,170.7440948486328,173.302126441582,170.73515559730896,171.37019728181232,2179800
2018-03-01,169.0714569091797,172.61335030603342,167.5420131781354,171.1107243157089,2447700
2018-03-02,169.33984375,170.28792286694747,167.45262476614252,167.6851680965057,2275900
2018-03-05,171.2627716064453,171.70997960578677,167.70299975304476,168.55269222225252,2155800
2018-03-06,171.24497985839844,171.95156285029324,170.00174153636462,171.8531764946915,2458700
2018-03-07,167.57777404785156,169.71542763660204,165.2701792438428,169.23244902539295,5157100
2018-03-08,166.08416748046875,166.67448552298202,163.7497403557207,166.5313756373346,6061500
2018-03-09,168.6690673828125,168.72273018987048,164.76941084661564,166.80867940109619,3288100
2018-03-12,169.37562561035156,170.02855939447738,167.74779489462878,168.39177578041452,2394100
2018-03-13,167.6672821044922,170.04641904059042,167.0769640833593,169.98381699770567,1964300
2018-03-14,165.13609313964844,169.05362742646446,164.1253983086819,168.84791548972524,2866000
2018-03-15,165.92311096191406,166.87120340721452,164.71565752350173,165.3059753721684,1811300
2018-03-16,166.24514770507812,166.58503025487852,164.99297038640702,166.52241456509037,3569400
2018-03-19,164.7067108154297,166.34349383128284,163.50819657902548,166.03045640113865,2493200
2018-03-20,167.5688934326172,167.77460535309962,165.10924869321383,165.5564568276508,1852500
2018-03-21,166.42404174804688,168.05187226105593,166.4150888508217,167.1037931994109,2048300
2018-03-22,163.35618591308594,165.95894051680852,163.23096818203274,165.37756175657583,2489800
2018-03-23,161.7462158203125,164.9750587182209,161.73727657184733,163.92859344407876,2351800
2018-03-26,167.4525604248047,167.75665858175174,163.0878060866761,163.7049552948776,2036600
2018-03-27,163.8123321533203,167.84615821044179,162.8374217077903,167.6493855419135,2495300
2018-03-28,164.22377014160156,165.1271256515604,162.09505507427613,164.22377014160156,2168700
2018-03-29,168.53485107421875,168.7226844957648,164.93930749796374,165.23446650455944,3016000
2018-04-02,163.4545440673828,167.17531835963305,161.93403941025082,167.17531835963305,3599200
2018-04-03,163.32937622070312,164.72466359433722,162.20241649147042,164.1522376552127,2287000
2018-04-04,165.93206787109375,166.6744348234006,161.83564076254225,162.00558199409156,2111000
